mouse_symbol,mouse_ensembl,human_ensembl,orthology_type
Rtl3,ENSMUSG00000047686,ENSG00000179300,ortholog_one2one
Siglec15,ENSMUSG00000091055,ENSG00000197046,ortholog_one2one
Gm17266,ENSMUSG00000117781,ENSG00000206043,ortholog_one2one
Gm25797,ENSMUSG00000119240,ENSG00000206708,ortholog_one2one
Pou3f4,ENSMUSG00000056854,ENSG00000196767,ortholog_one2one
Satl1,ENSMUSG00000025527,ENSG00000184788,ortholog_one2one
Mir361,ENSMUSG00000065510,ENSG00000199051,ortholog_one2one
Fzd8,ENSMUSG00000036904,ENSG00000177283,ortholog_one2one
Gjd4,ENSMUSG00000036855,ENSG00000177291,ortholog_one2one
Gm54493,ENSMUSG00002074939,ENSG00000223175,ortholog_one2one
Gm24624,ENSMUSG00000064551,ENSG00000206624,ortholog_one2one
Cpxcr1,ENSMUSG00000072995,ENSG00000147183,ortholog_one2one
Gm54495,ENSMUSG00002075399,ENSG00000252192,ortholog_one2one
Gm25834,ENSMUSG00000089541,ENSG00000212623,ortholog_one2one
Mir145a,ENSMUSG00000065592,ENSG00000276365,ortholog_one2one
Mir143,ENSMUSG00000065445,ENSG00000284182,ortholog_one2one
Mc5r,ENSMUSG00000007480,ENSG00000176136,ortholog_one2one
Marcol,ENSMUSG00000110628,ENSG00000248109,ortholog_one2one
Skor2,ENSMUSG00000091519,ENSG00000215474,ortholog_one2one
Actrt1,ENSMUSG00000046615,ENSG00000123165,ortholog_one2one
Arl13a,ENSMUSG00000052549,ENSG00000174225,ortholog_one2one
Snora74a,ENSMUSG00000065649,ENSG00000200959,ortholog_one2one
Prob1,ENSMUSG00000073600,ENSG00000228672,ortholog_one2one
Foxr2,ENSMUSG00000071665,ENSG00000189299,ortholog_one2one
Gm22359,ENSMUSG00000064818,ENSG00000200443,ortholog_one2one
Spink7,ENSMUSG00000060201,ENSG00000145879,ortholog_one2one
Bmp15,ENSMUSG00000023279,ENSG00000130385,ortholog_one2one
Klhl34,ENSMUSG00000047485,ENSG00000185915,ortholog_one2one
Mir133a-1,ENSMUSG00000065399,ENSG00000283927,ortholog_one2one
Mir1a-2,ENSMUSG00000106348,ENSG00000284453,ortholog_one2one
Gpr119,ENSMUSG00000051209,ENSG00000147262,ortholog_one2one
Asxl3,ENSMUSG00000045215,ENSG00000141431,ortholog_one2one
Mir500,ENSMUSG00000070108,ENSG00000272080,ortholog_one2one
Mir501,ENSMUSG00000076251,ENSG00000211538,ortholog_one2one
Mir188,ENSMUSG00000065398,ENSG00000207768,ortholog_one2one
Mir532,ENSMUSG00000070139,ENSG00000207758,ortholog_one2one
Usp27x,ENSMUSG00000046269,ENSG00000273820,ortholog_one2one
Ccdc22,ENSMUSG00000031143,ENSG00000101997,ortholog_one2one
Cd14,ENSMUSG00000051439,ENSG00000170458,ortholog_one2one
Map3k15,ENSMUSG00000031303,ENSG00000180815,ortholog_one2one
Pcdhb1,ENSMUSG00000051663,ENSG00000171815,ortholog_one2one
Pcdhb2,ENSMUSG00000051599,ENSG00000112852,ortholog_one2one
Pcdhb3,ENSMUSG00000045498,ENSG00000113205,ortholog_one2one
Mir363,ENSMUSG00000070106,ENSG00000284499,ortholog_one2one
Mir19b-2,ENSMUSG00000065473,ENSG00000284107,ortholog_one2one
Pcdhb13,ENSMUSG00000047307,ENSG00000113211,ortholog_one2one
Pcdhb15,ENSMUSG00000047033,ENSG00000113212,ortholog_one2one
Pcdhb16,ENSMUSG00000047910,ENSG00000187372,ortholog_one2one
Pcdhb17,ENSMUSG00000046387,ENSG00000272674,ortholog_one2one
Pcdhb20,ENSMUSG00000046191,ENSG00000120327,ortholog_one2one
Gm54832,ENSMUSG00002076735,ENSG00000223223,ortholog_one2one
Pcdhb22,ENSMUSG00000073591,ENSG00000113248,ortholog_one2one
Slc25a2,ENSMUSG00000050304,ENSG00000120329,ortholog_one2one
Or13ae2,ENSMUSG00000051706,ENSG00000171054,ortholog_one2one
Frmpd3,ENSMUSG00000042425,ENSG00000147234,ortholog_one2one
Gm23199,ENSMUSG00000089437,ENSG00000207042,ortholog_one2one
Gm25023,ENSMUSG00000119893,ENSG00000207367,ortholog_one2one
Gm25851,ENSMUSG00000119633,ENSG00000200469,ortholog_one2one
Col4a6,ENSMUSG00000031273,ENSG00000197565,ortholog_one2one
Irs4,ENSMUSG00000054667,ENSG00000133124,ortholog_one2one
Gm26111,ENSMUSG00000065903,ENSG00000206996,ortholog_one2one
Gm23000,ENSMUSG00000087708,ENSG00000252850,ortholog_one2one
Gm55085,ENSMUSG00002075818,ENSG00000251744,ortholog_one2one
Mir652,ENSMUSG00000076011,ENSG00000208013,ortholog_one2one
Gm55142,ENSMUSG00002076242,ENSG00000212282,ortholog_one2one
Gm55172,ENSMUSG00002075879,ENSG00000206819,ortholog_one2one
Gm22062,ENSMUSG00000119728,ENSG00000207275,ortholog_one2one
Rtl4,ENSMUSG00000071679,ENSG00000187823,ortholog_one2one
H2ap,ENSMUSG00000040456,ENSG00000187516,ortholog_one2one
Sytl5,ENSMUSG00000054453,ENSG00000147041,ortholog_one2one
Zc3h12b,ENSMUSG00000035045,ENSG00000102053,ortholog_one2one
Mir223,ENSMUSG00000076066,ENSG00000284567,ortholog_one2one
Otud6a,ENSMUSG00000051582,ENSG00000189401,ortholog_one2one
Dgat2l6,ENSMUSG00000067597,ENSG00000184210,ortholog_one2one
Awat1,ENSMUSG00000015665,ENSG00000204195,ortholog_one2one
P2ry4,ENSMUSG00000044359,ENSG00000186912,ortholog_one2one
Dusp21,ENSMUSG00000025043,ENSG00000189037,ortholog_one2one
Dipk2b,ENSMUSG00000037358,ENSG00000147113,ortholog_one2one
Gm26131,ENSMUSG00000064659,ENSG00000202358,ortholog_one2one
Rtl5,ENSMUSG00000049191,ENSG00000242732,ortholog_one2one
Cylc1,ENSMUSG00000073001,ENSG00000183035,ortholog_one2one
Ccnb3,ENSMUSG00000051592,ENSG00000147082,ortholog_one2one
Dgkk,ENSMUSG00000062393,ENSG00000274588,ortholog_one2one
Vsig1,ENSMUSG00000031430,ENSG00000101842,ortholog_one2one
Sox3,ENSMUSG00000045179,ENSG00000134595,ortholog_one2one
Gm715,ENSMUSG00000082226,ENSG00000230707,ortholog_one2one
Gm55604,ENSMUSG00002076348,ENSG00000201428,ortholog_one2one
Mir504,ENSMUSG00000070110,ENSG00000207800,ortholog_one2one
Sowahd,ENSMUSG00000044400,ENSG00000187808,ortholog_one2one
Mir450b,ENSMUSG00000076050,ENSG00000216001,ortholog_one2one
Mir450-1,ENSMUSG00000065486,ENSG00000199132,ortholog_one2one
Mir450-2,ENSMUSG00000076399,ENSG00000207755,ortholog_one2one
Mir542,ENSMUSG00000076140,ENSG00000207784,ortholog_one2one
Mir322,ENSMUSG00000065418,ENSG00000284231,ortholog_one2one
Ubqln2,ENSMUSG00000050148,ENSG00000188021,ortholog_one2one
Bhlhb9,ENSMUSG00000072964,ENSG00000198908,ortholog_one2one
Gm25107,ENSMUSG00000084421,ENSG00000271907,ortholog_one2one
Gm54807,ENSMUSG00002076992,ENSG00000252982,ortholog_one2one
Brs3,ENSMUSG00000031130,ENSG00000102239,ortholog_one2one
Snord61,ENSMUSG00000065110,ENSG00000206979,ortholog_one2one
Gpr101,ENSMUSG00000036357,ENSG00000165370,ortholog_one2one
Gm22364,ENSMUSG00000065031,ENSG00000199767,ortholog_one2one
Gm25061,ENSMUSG00000119321,ENSG00000207328,ortholog_one2one
Mirlet7f-2,ENSMUSG00000065602,ENSG00000208012,ortholog_one2one
Mir98,ENSMUSG00000065536,ENSG00000271886,ortholog_one2one
Pnma5,ENSMUSG00000050424,ENSG00000198883,ortholog_one2one
Pnma3,ENSMUSG00000046287,ENSG00000183837,ortholog_one2one
Gm24061,ENSMUSG00000088114,ENSG00000252158,ortholog_one2one
Kcne5,ENSMUSG00000090122,ENSG00000176076,ortholog_one2one
Rtl9,ENSMUSG00000085584,ENSG00000243978,ortholog_one2one
Ccdc120,ENSMUSG00000031150,ENSG00000147144,ortholog_one2one
Kcnd1,ENSMUSG00000009731,ENSG00000102057,ortholog_one2one
Asmt,ENSMUSG00000093806,ENSG00000196433,ortholog_one2one
Mir505,ENSMUSG00000070081,ENSG00000207633,ortholog_one2one
Gm7073,ENSMUSG00000079583,ENSG00000203933,ortholog_one2one
Tex28,ENSMUSG00000062564,ENSG00000278057,ortholog_one2one
Esx1,ENSMUSG00000023443,ENSG00000123576,ortholog_one2one
Gm23461,ENSMUSG00000119692,ENSG00000199944,ortholog_one2one
Wnk3,ENSMUSG00000041245,ENSG00000196632,ortholog_one2one
Gm24263,ENSMUSG00000118919,ENSG00000202017,ortholog_one2one
Pabir1,ENSMUSG00000074922,ENSG00000187866,ortholog_one2one
Gm25176,ENSMUSG00000084589,ENSG00000201317,ortholog_one2one
Sts,ENSMUSG00000121914,ENSG00000101846,ortholog_one2one
Adrb1,ENSMUSG00000035283,ENSG00000043591,ortholog_one2one
Catsper1,ENSMUSG00000038498,ENSG00000175294,ortholog_one2one
Vwa2,ENSMUSG00000025082,ENSG00000165816,ortholog_one2one
Tsga10ip,ENSMUSG00000039330,ENSG00000175513,ortholog_one2one
Fosl1,ENSMUSG00000024912,ENSG00000175592,ortholog_one2one
Nscme3l,ENSMUSG00000100937,ENSG00000185115,ortholog_one2one
Ovol1,ENSMUSG00000024922,ENSG00000172818,ortholog_one2one
Kcnk18,ENSMUSG00000040901,ENSG00000186795,ortholog_one2one
Emx2,ENSMUSG00000043969,ENSG00000170370,ortholog_one2one
Nanos1,ENSMUSG00000072437,ENSG00000188613,ortholog_one2one
Gm54606,ENSMUSG00002075125,ENSG00000222588,ortholog_one2one
Ranbp6,ENSMUSG00000074909,ENSG00000137040,ortholog_one2one
Trpd52l3,ENSMUSG00000024815,ENSG00000170777,ortholog_one2one
Dkk1,ENSMUSG00000024868,ENSG00000107984,ortholog_one2one
Cstf2t,ENSMUSG00000053536,ENSG00000177613,ortholog_one2one
Gm61610,ENSMUSG00000121950,ENSG00000230399,ortholog_one2one
Lipf,ENSMUSG00000024768,ENSG00000182333,ortholog_one2one
Ankrd22,ENSMUSG00000024774,ENSG00000152766,ortholog_one2one
Ch25h,ENSMUSG00000050370,ENSG00000138135,ortholog_one2one
Pde6c,ENSMUSG00000024992,ENSG00000095464,ortholog_one2one
Gm22351,ENSMUSG00000065859,ENSG00000253086,ortholog_one2one
Cxcr3,ENSMUSG00000050232,ENSG00000186810,ortholog_one2one
Phex,ENSMUSG00000057457,ENSG00000102174,ortholog_one2one
Frat2,ENSMUSG00000047604,ENSG00000181274,ortholog_one2one
Gm23113,ENSMUSG00000089102,ENSG00000223015,ortholog_one2one
4933411K16Rik,ENSMUSG00000090369,ENSG00000203942,ortholog_one2one
Hpse2,ENSMUSG00000074852,ENSG00000172987,ortholog_one2one
Nkx2-3,ENSMUSG00000044220,ENSG00000119919,ortholog_one2one
Gm24336,ENSMUSG00000077391,ENSG00000212464,ortholog_one2one
Lrrc10b,ENSMUSG00000090291,ENSG00000204950,ortholog_one2one
Pkd2l1,ENSMUSG00000037578,ENSG00000107593,ortholog_one2one
Vwce,ENSMUSG00000043789,ENSG00000167992,ortholog_one2one
Zp1,ENSMUSG00000024734,ENSG00000149506,ortholog_one2one
Ptgdr2,ENSMUSG00000034117,ENSG00000183134,ortholog_one2one
Hps6,ENSMUSG00000074811,ENSG00000166189,ortholog_one2one
Or5b21,ENSMUSG00000046272,ENSG00000198283,ortholog_one2one
Or9q2,ENSMUSG00000044040,ENSG00000186513,ortholog_one2one
Calhm1,ENSMUSG00000079258,ENSG00000185933,ortholog_one2one
Calhm3,ENSMUSG00000094219,ENSG00000183128,ortholog_one2one
Col17a1,ENSMUSG00000025064,ENSG00000065618,ortholog_one2one
Mir204,ENSMUSG00000065507,ENSG00000207935,ortholog_one2one
Cabp4,ENSMUSG00000024842,ENSG00000175544,ortholog_one2one
Gpr152,ENSMUSG00000044724,ENSG00000175514,ortholog_one2one
Gm55525,ENSMUSG00002076763,ENSG00000278144,ortholog_one2one
Znhit2,ENSMUSG00000075227,ENSG00000174276,ortholog_one2one
Gm55610,ENSMUSG00002075640,ENSG00000206605,ortholog_one2one
Or5b99,ENSMUSG00000046913,ENSG00000172365,ortholog_one2one
Gm22443,ENSMUSG00000119251,ENSG00000206788,ortholog_one2one
Sfrp5,ENSMUSG00000018822,ENSG00000120057,ortholog_one2one
Snora57,ENSMUSG00000070167,ENSG00000206597,ortholog_one2one
Plpp6,ENSMUSG00000040105,ENSG00000205808,ortholog_one2one
Rnls,ENSMUSG00000071573,ENSG00000184719,ortholog_one2one
Rom1,ENSMUSG00000071648,ENSG00000149489,ortholog_one2one
Ms4a18,ENSMUSG00000094584,ENSG00000214782,ortholog_one2one
Ms4a8a,ENSMUSG00000024730,ENSG00000166959,ortholog_one2one
Ms4a14,ENSMUSG00000099398,ENSG00000166928,ortholog_one2one
1810009A15Rik,ENSMUSG00000071653,ENSG00000278615,ortholog_one2one
Ccdc87,ENSMUSG00000067872,ENSG00000182791,ortholog_one2one
Gm54401,ENSMUSG00002074886,ENSG00000252156,ortholog_one2one
Cd248,ENSMUSG00000056481,ENSG00000174807,ortholog_one2one
Fhip2a,ENSMUSG00000033478,ENSG00000151553,ortholog_one2one
Gm54579,ENSMUSG00002076056,ENSG00000222874,ortholog_one2one
Vax1,ENSMUSG00000006270,ENSG00000148704,ortholog_one2one
Kcnv2,ENSMUSG00000047298,ENSG00000168263,ortholog_one2one
Krtap8-1,ENSMUSG00000059632,ENSG00000183640,ortholog_one2one
Krtap7-1,ENSMUSG00000056706,ENSG00000274749,ortholog_one2one
Krtap11-1,ENSMUSG00000091212,ENSG00000182591,ortholog_one2one
Mir484,ENSMUSG00000070074,ENSG00000283736,ortholog_one2one
Btnl12,ENSMUSG00000108763,ENSG00000026950,ortholog_one2one
Drd3,ENSMUSG00000022705,ENSG00000151577,ortholog_one2one
Cebpd,ENSMUSG00000071637,ENSG00000221869,ortholog_one2one
Slc9c1,ENSMUSG00000033210,ENSG00000172139,ortholog_one2one
Gm54503,ENSMUSG00002076801,ENSG00000223269,ortholog_one2one
Zpld1,ENSMUSG00000064310,ENSG00000170044,ortholog_one2one
Gm23003,ENSMUSG00000119820,ENSG00000206921,ortholog_one2one
Ccdc188,ENSMUSG00000090777,ENSG00000234409,ortholog_one2one
Adgrg7,ENSMUSG00000022755,ENSG00000144820,ortholog_one2one
Gpr15,ENSMUSG00000047293,ENSG00000154165,ortholog_one2one
Gm23787,ENSMUSG00000084487,ENSG00000199593,ortholog_one2one
Gm25224,ENSMUSG00000088820,ENSG00000201318,ortholog_one2one
Mir299a,ENSMUSG00000106653,ENSG00000207749,ortholog_one2one
Mir323,ENSMUSG00000065617,ENSG00000199069,ortholog_one2one
Mir494,ENSMUSG00000070141,ENSG00000194717,ortholog_one2one
Mir381,ENSMUSG00000098838,ENSG00000199020,ortholog_one2one
Mir382,ENSMUSG00000065428,ENSG00000283170,ortholog_one2one
Mir134,ENSMUSG00000065426,ENSG00000207993,ortholog_one2one
Mir668,ENSMUSG00000099236,ENSG00000276352,ortholog_one2one
Mir154,ENSMUSG00000065448,ENSG00000207978,ortholog_one2one
Mir496a,ENSMUSG00000070136,ENSG00000207961,ortholog_one2one
Mir377,ENSMUSG00000065438,ENSG00000199015,ortholog_one2one
Mir541,ENSMUSG00000076052,ENSG00000216179,ortholog_one2one
Mir412,ENSMUSG00000065570,ENSG00000199012,ortholog_one2one
Mir410,ENSMUSG00000065497,ENSG00000199092,ortholog_one2one
Gabrr3,ENSMUSG00000074991,ENSG00000183185,ortholog_one2one
Epha6,ENSMUSG00000055540,ENSG00000080224,ortholog_one2one
Gm23852,ENSMUSG00000089001,ENSG00000280904,ortholog_one2one
Gm24164,ENSMUSG00000070173,ENSG00000202082,ortholog_one2one
Stx19,ENSMUSG00000047854,ENSG00000178750,ortholog_one2one
Iglv3,ENSMUSG00000076939,ENSG00000211672,ortholog_one2one
Gm54435,ENSMUSG00002076840,ENSG00000253057,ortholog_one2one
Gm54481,ENSMUSG00002075558,ENSG00000252978,ortholog_one2one
Csnk2a2ip,ENSMUSG00000068167,ENSG00000283434,ortholog_one2one
Ttc6,ENSMUSG00000046782,ENSG00000139865,ortholog_one2one
Gm22448,ENSMUSG00000119593,ENSG00000207169,ortholog_one2one
Gm22973,ENSMUSG00000065232,ENSG00000222477,ortholog_one2one
Irf2bpl,ENSMUSG00000034168,ENSG00000119669,ortholog_one2one
Mir203,ENSMUSG00000065574,ENSG00000283165,ortholog_one2one
Kif26a,ENSMUSG00000021294,ENSG00000066735,ortholog_one2one
Samsn1,ENSMUSG00000022876,ENSG00000155307,ortholog_one2one
H1f2,ENSMUSG00000036181,ENSG00000187837,ortholog_one2one
H3c2,ENSMUSG00000069267,ENSG00000203811,ortholog_one2one
H1f1,ENSMUSG00000049539,ENSG00000124610,ortholog_one2one
Trim38,ENSMUSG00000064140,ENSG00000112343,ortholog_one2one
Gm54838,ENSMUSG00002076261,ENSG00000274662,ortholog_one2one
Samd15,ENSMUSG00000090812,ENSG00000100583,ortholog_one2one
Gm23104,ENSMUSG00000065656,ENSG00000212327,ortholog_one2one
Slc17a1,ENSMUSG00000021335,ENSG00000124568,ortholog_one2one
Cldn17,ENSMUSG00000055811,ENSG00000156282,ortholog_one2one
Cldn8,ENSMUSG00000050520,ENSG00000156284,ortholog_one2one
Krtap24-1,ENSMUSG00000050239,ENSG00000188694,ortholog_one2one
Gm54874,ENSMUSG00002076486,ENSG00000252214,ortholog_one2one
Krtap26-1,ENSMUSG00000071471,ENSG00000197683,ortholog_one2one
Krtap27-1,ENSMUSG00000090515,ENSG00000206107,ortholog_one2one
Gm23059,ENSMUSG00000119332,ENSG00000251907,ortholog_one2one
Krtap15-1,ENSMUSG00000022931,ENSG00000186970,ortholog_one2one
Gm54555,ENSMUSG00002076563,ENSG00000253015,ortholog_one2one
H2bc1,ENSMUSG00000050799,ENSG00000146047,ortholog_one2one
H2ac1,ENSMUSG00000060081,ENSG00000164508,ortholog_one2one
Fscb,ENSMUSG00000043060,ENSG00000189139,ortholog_one2one
Sox11,ENSMUSG00000063632,ENSG00000176887,ortholog_one2one
Slx4,ENSMUSG00000039738,ENSG00000188827,ortholog_one2one
Gm25970,ENSMUSG00000087790,ENSG00000239043,ortholog_one2one
Ighe,ENSMUSG00000087642,ENSG00000211891,ortholog_one2one
Gm22013,ENSMUSG00000089413,ENSG00000222652,ortholog_one2one
Gm54563,ENSMUSG00002076394,ENSG00000251982,ortholog_one2one
Dnase1,ENSMUSG00000005980,ENSG00000213918,ortholog_one2one
Hdgfl1,ENSMUSG00000045835,ENSG00000112273,ortholog_one2one
Ighm,ENSMUSG00000076617,ENSG00000211899,ortholog_one2one
Gm25599,ENSMUSG00000088441,ENSG00000252101,ortholog_one2one
Gm55001,ENSMUSG00002075139,ENSG00000252998,ortholog_one2one
Map3k13,ENSMUSG00000033618,ENSG00000073803,ortholog_one2one
Gm26159,ENSMUSG00000089593,ENSG00000253005,ortholog_one2one
Crygs,ENSMUSG00000033501,ENSG00000213139,ortholog_one2one
Tekt5,ENSMUSG00000039179,ENSG00000153060,ortholog_one2one
Snord2,ENSMUSG00000088524,ENSG00000238942,ortholog_one2one
Gm24201,ENSMUSG00000064880,ENSG00000200418,ortholog_one2one
Gm26447,ENSMUSG00000064382,ENSG00000200320,ortholog_one2one
Gm24616,ENSMUSG00000065208,ENSG00000263776,ortholog_one2one
Gm55086,ENSMUSG00002076223,ENSG00000252257,ortholog_one2one
Rtp1,ENSMUSG00000033383,ENSG00000175077,ortholog_one2one
Mir28a,ENSMUSG00000065494,ENSG00000207651,ortholog_one2one
Gm24145,ENSMUSG00000064565,ENSG00000200231,ortholog_one2one
Sox4,ENSMUSG00000076431,ENSG00000124766,ortholog_one2one
Gm24928,ENSMUSG00000065333,ENSG00000206593,ortholog_one2one
Tmem207,ENSMUSG00000091972,ENSG00000198398,ortholog_one2one
Gm23206,ENSMUSG00000084669,ENSG00000222300,ortholog_one2one
Uts2b,ENSMUSG00000056423,ENSG00000188958,ortholog_one2one
Mir193b,ENSMUSG00000076972,ENSG00000207639,ortholog_one2one
Mir365-1,ENSMUSG00000065449,ENSG00000199130,ortholog_one2one
Rn7s1,ENSMUSG00000118866,ENSG00000276168,ortholog_one2one
Mgat2,ENSMUSG00000043998,ENSG00000168282,ortholog_one2one
Fam43a,ENSMUSG00000046546,ENSG00000185112,ortholog_one2one
Meltf,ENSMUSG00000022780,ENSG00000163975,ortholog_one2one
Wdr5b,ENSMUSG00000034379,ENSG00000196981,ortholog_one2one
Gm54824,ENSMUSG00002076631,ENSG00000223039,ortholog_one2one
Golgb1,ENSMUSG00000034243,ENSG00000173230,ortholog_one2one
Htr1a,ENSMUSG00000021721,ENSG00000178394,ortholog_one2one
Gm24527,ENSMUSG00000064854,ENSG00000207013,ortholog_one2one
Mir1306,ENSMUSG00000080452,ENSG00000284464,ortholog_one2one
Mir3618,ENSMUSG00000093246,ENSG00000284140,ortholog_one2one
Mir185,ENSMUSG00000065464,ENSG00000208023,ortholog_one2one
Muc4,ENSMUSG00000118672,ENSG00000145113,ortholog_one2one
Pou5f2,ENSMUSG00000093668,ENSG00000248483,ortholog_one2one
Mir99a,ENSMUSG00000065530,ENSG00000207638,ortholog_one2one
Mirlet7c-1,ENSMUSG00000065557,ENSG00000199030,ortholog_one2one
Calml3,ENSMUSG00000063130,ENSG00000178363,ortholog_one2one
Tubal3,ENSMUSG00000021216,ENSG00000178462,ortholog_one2one
Ucn3,ENSMUSG00000044988,ENSG00000178473,ortholog_one2one
Olig1,ENSMUSG00000046160,ENSG00000184221,ortholog_one2one
Gm22126,ENSMUSG00000065178,ENSG00000207340,ortholog_one2one
Ppp1r3g,ENSMUSG00000050423,ENSG00000219607,ortholog_one2one
Mir155,ENSMUSG00000065397,ENSG00000283904,ortholog_one2one
Gm54861,ENSMUSG00002075875,ENSG00000201980,ortholog_one2one
Cox17,ENSMUSG00000046516,ENSG00000138495,ortholog_one2one
Mir582,ENSMUSG00000076946,ENSG00000202601,ortholog_one2one
Bcl6,ENSMUSG00000022508,ENSG00000113916,ortholog_one2one
Actbl2,ENSMUSG00000055194,ENSG00000169067,ortholog_one2one
Cldn5,ENSMUSG00000041378,ENSG00000184113,ortholog_one2one
Gp1bb,ENSMUSG00000050761,ENSG00000203618,ortholog_one2one
Gm22500,ENSMUSG00000089607,ENSG00000212468,ortholog_one2one
Prm3,ENSMUSG00000050058,ENSG00000178257,ortholog_one2one
Gm26403,ENSMUSG00000089125,ENSG00000251958,ortholog_one2one
Pde6a,ENSMUSG00000024575,ENSG00000132915,ortholog_one2one
Ripk4,ENSMUSG00000005251,ENSG00000183421,ortholog_one2one
C2cd2,ENSMUSG00000045975,ENSG00000157617,ortholog_one2one
Mir301b,ENSMUSG00000076288,ENSG00000212102,ortholog_one2one
Gm55230,ENSMUSG00002075582,ENSG00000252581,ortholog_one2one
Gm24507,ENSMUSG00000088308,ENSG00000238835,ortholog_one2one
